api_clean,well_type
17731955H1,HORIZONTAL
17731662,UNKNOWN
17730860,UNKNOWN
17730481,UNKNOWN
17731697,UNKNOWN
17730603,UNKNOWN
17731308,UNKNOWN
17731435,UNKNOWN
17731249,UNKNOWN
17731104,UNKNOWN
17731376,UNKNOWN
17732181H1,HORIZONTAL
17730707,UNKNOWN
17730714,UNKNOWN
17730724,UNKNOWN
17731975H1,HORIZONTAL
17732273H1,HORIZONTAL
17733005H1,HORIZONTAL
17732596H1,HORIZONTAL
17733660H1,HORIZONTAL
17733659H1,HORIZONTAL
17732827H1,HORIZONTAL
17732906H1,HORIZONTAL
17732416H1,HORIZONTAL
17732522H1,HORIZONTAL
17732555H1,HORIZONTAL
17731793H1,HORIZONTAL
17731539,UNKNOWN
17731523,UNKNOWN
17731247,UNKNOWN
17731198,UNKNOWN
17732120H2,HORIZONTAL
17730429,UNKNOWN
17731429,UNKNOWN
177H1,HORIZONTAL
17731083,UNKNOWN
17731759H2,HORIZONTAL
17732589H1,HORIZONTAL
17732692H1,HORIZONTAL
17732901H1,HORIZONTAL
17732910H1,HORIZONTAL
17733297H1,HORIZONTAL
17733564H1,HORIZONTAL
17730524,UNKNOWN
17730542,UNKNOWN
17732459,UNKNOWN
17780057,UNKNOWN
17731694,UNKNOWN
17730506,UNKNOWN
17731714,UNKNOWN
17731430,UNKNOWN
17730430,UNKNOWN
17732697,UNKNOWN
17730231,UNKNOWN
17732334HW,HORIZONTAL
17730181,UNKNOWN
17730202,UNKNOWN
17732458H1,HORIZONTAL
17731565,UNKNOWN
17731615,UNKNOWN
