rrc_lease_id,abstract_label
17032,A-87
21307,A-178
16938,A-229
17975,A-222
16631,A-399
12567,A-450
20719,A-49
17853,A-111
296476,A-459
18000,A-399
15907,A-261
16703,A-336
17233,A-416
26635,A-109
16835,A-336
17754,A-425
16142,A-229
20985,A-55
17804,A-257
13359,A-238
7013,A-362
17064,A-87
18162,A-399
17090,A-464
12996,A-261
12220,A-35
21027,A-25
20680,A-471
18569,A-252
16942,A-399
17965,A-23
10393,A-346
10487,A-1
16586,A-252
16931,A-158
